
INPC;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Aluguel e taxas;0,48;0,96;0,08;0,53;0,91;1,06;0,13;(-) 0,10;0,25;0,37;0,51;0,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Reparos;0,38;0,01;(-) 0,16;0,43;0,05;0,03;0,17;0,29;0,13;(-) 0,14;(-) 0,15;0,44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Artigos de limpeza;0,35;1,09;0,05;0,64;0,46;0,32;(-) 0,20;0,01;(-) 0,69;(-) 0,36;(-) 0,62;(-) 0,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  Combustíveis e energia;(-) 0,20;0,98;1,30;0,35;0,82;(-) 0,01;(-) 3,11;3,20;0,87;(-) 0,34;0,55;0,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Combustíveis (domésticos);(-) 1,17;(-) 0,12;(-) 0,42;0,04;0,32;(-) 3,84;(-) 0,97;(-) 0,86;0,27;0,25;(-) 0,29;(-) 0,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Energia elétrica residencial;0,23;1,46;2,03;0,48;1,03;1,56;(-) 3,94;4,83;1,10;(-) 0,56;0,87;0,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Artigos de residência;0,71;0,13;(-) 0,27;0,17;(-) 0,23;(-) 0,34;0,04;(-) 0,07;(-) 0,57;0,28;(-) 0,50;0,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  Móveis e utensílios;0,68;0,29;0,20;0,22;0,39;0,28;0,32;0,20;(-) 0,42;0,27;(-) 0,66;0,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Mobiliário;0,68;0,35;0,19;0,38;0,35;0,66;0,58;0,22;(-) 0,25;0,50;(-) 0,65;0,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Utensílios e enfeites;0,22;0,32;0,27;(-) 0,10;0,14;(-) 0,17;(-) 0,50;0,21;(-) 0,80;(-) 0,31;(-) 0,68;0,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Cama, mesa e banho;1,51;(-) 0,17;0,16;(-) 0,28;1,17;(-) 1,36;0,16;0,02;(-) 0,88;(-) 0,23;(-) 0,69;(-) 0,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  Aparelhos eletroeletrônicos;0,76;(-) 0,11;(-) 0,83;(-) 0,07;(-) 0,95;(-) 1,07;(-) 0,28;(-) 0,24;(-) 0,92;0,20;(-) 0,69;0,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Eletrodomésticos e equipamentos;1,22;0,41;(-) 0,18;0,21;(-) 0,57;(-) 0,84;0,34;0,11;(-) 1,12;0,61;(-) 0,29;0,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     TV, som e informática;0,09;(-) 0,88;(-) 1,79;(-) 0,50;(-) 1,55;(-) 1,42;(-) 1,25;(-) 0,79;(-) 0,59;(-) 0,45;(-) 1,34;1,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  Consertos e manutenção;0,59;0,59;0,22;1,22;0,25;0,14;0,22;(-) 0,64;0,37;0,72;1,25;0,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Consertos e manutenção;0,59;0,59;0,22;1,22;0,25;0,14;0,22;(-) 0,64;0,37;0,72;1,25;0,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
